time,open,high,low,close,tick_volume,spread,real_volume
2025-01-20 11:44:00,123580.0,123610.0,123560.0,123595.0,3373,0,42323
2025-01-20 11:45:00,123600.0,123650.0,123550.0,123570.0,4584,0,61323
2025-01-20 11:46:00,123570.0,123610.0,123530.0,123545.0,2768,0,30088
2025-01-20 11:47:00,123550.0,123700.0,123475.0,123680.0,6741,0,90268
2025-01-20 11:48:00,123680.0,123685.0,123620.0,123625.0,2520,0,29070
2025-01-20 11:49:00,123625.0,123685.0,123610.0,123615.0,2184,0,30129
2025-01-20 11:50:00,123620.0,123750.0,123610.0,123730.0,3904,0,49893
2025-01-20 11:51:00,123735.0,123790.0,123690.0,123765.0,3719,0,50684
2025-01-20 11:52:00,123760.0,123775.0,123695.0,123745.0,2592,0,29587
2025-01-20 11:53:00,123745.0,123775.0,123735.0,123760.0,1261,0,11259
2025-01-20 11:54:00,123765.0,123820.0,123735.0,123780.0,2313,0,27938
2025-01-20 11:55:00,123785.0,123830.0,123735.0,123825.0,2551,0,29228
2025-01-20 11:56:00,123830.0,123845.0,123795.0,123820.0,2104,0,22448
2025-01-20 11:57:00,123820.0,123825.0,123755.0,123770.0,2089,0,23652
2025-01-20 11:58:00,123775.0,123795.0,123705.0,123735.0,2565,0,34719
2025-01-20 11:59:00,123735.0,123825.0,123725.0,123765.0,2299,0,29273
2025-01-20 12:00:00,123765.0,123765.0,123680.0,123750.0,3838,0,51802
2025-01-20 12:01:00,123745.0,123800.0,123745.0,123780.0,1768,0,20086
2025-01-20 12:02:00,123780.0,123800.0,123730.0,123800.0,1604,0,17348
2025-01-20 12:03:00,123800.0,123870.0,123790.0,123840.0,3105,0,40741
2025-01-20 12:04:00,123840.0,123870.0,123825.0,123865.0,1731,0,15563
2025-01-20 12:05:00,123860.0,123920.0,123820.0,123915.0,3024,0,39378
2025-01-20 12:06:00,123920.0,123925.0,123875.0,123900.0,1959,0,21607
2025-01-20 12:07:00,123900.0,123925.0,123870.0,123900.0,1400,0,15292
2025-01-20 12:08:00,123900.0,123920.0,123860.0,123890.0,1631,0,17392
2025-01-20 12:09:00,123895.0,123900.0,123850.0,123885.0,1277,0,12021
2025-01-20 12:10:00,123890.0,123900.0,123785.0,123800.0,2773,0,38903
2025-01-20 12:11:00,123795.0,123805.0,123755.0,123765.0,2248,0,22311
2025-01-20 12:12:00,123770.0,123770.0,123700.0,123760.0,2806,0,32757
2025-01-20 12:13:00,123760.0,123800.0,123750.0,123765.0,1792,0,20278
2025-01-20 12:14:00,123765.0,123850.0,123765.0,123835.0,2105,0,22447
2025-01-20 12:15:00,123840.0,123870.0,123830.0,123845.0,1752,0,16524
2025-01-20 12:16:00,123845.0,123850.0,123750.0,123755.0,2384,0,28771
2025-01-20 12:17:00,123755.0,123805.0,123750.0,123770.0,1387,0,13087
2025-01-20 12:18:00,123765.0,123800.0,123755.0,123775.0,1080,0,10469
2025-01-20 12:19:00,123780.0,123780.0,123710.0,123710.0,1770,0,16158
2025-01-20 12:20:00,123715.0,123780.0,123705.0,123710.0,2003,0,24551
2025-01-20 12:21:00,123710.0,123720.0,123655.0,123685.0,3324,0,40850
2025-01-20 12:22:00,123685.0,123700.0,123615.0,123615.0,2496,0,25576
2025-01-20 12:23:00,123620.0,123670.0,123600.0,123635.0,2207,0,28379
2025-01-20 12:24:00,123640.0,123705.0,123620.0,123670.0,2418,0,34578
2025-01-20 12:25:00,123670.0,123700.0,123650.0,123690.0,1119,0,9233
2025-01-20 12:26:00,123690.0,123790.0,123665.0,123785.0,3050,0,40833
2025-01-20 12:27:00,123780.0,123805.0,123770.0,123790.0,2011,0,19334
2025-01-20 12:28:00,123785.0,123840.0,123755.0,123770.0,2358,0,26497
2025-01-20 12:29:00,123770.0,123800.0,123745.0,123790.0,1378,0,15277
2025-01-20 12:30:00,123790.0,123830.0,123765.0,123800.0,1625,0,18814
2025-01-20 12:31:00,123800.0,123850.0,123790.0,123830.0,1572,0,17506
2025-01-20 12:32:00,123830.0,123860.0,123810.0,123835.0,1394,0,13435
2025-01-20 12:33:00,123830.0,123845.0,123800.0,123830.0,1126,0,13390
2025-01-20 12:34:00,123830.0,123860.0,123820.0,123830.0,1129,0,9817
2025-01-20 12:35:00,123830.0,123845.0,123735.0,123740.0,2644,0,28648
2025-01-20 12:36:00,123735.0,123760.0,123705.0,123745.0,2111,0,21192
2025-01-20 12:37:00,123745.0,123750.0,123700.0,123705.0,1521,0,18308
2025-01-20 12:38:00,123705.0,123760.0,123705.0,123745.0,1058,0,9941
2025-01-20 12:39:00,123740.0,123760.0,123715.0,123740.0,850,0,6049
2025-01-20 12:40:00,123740.0,123745.0,123685.0,123720.0,1506,0,15040
2025-01-20 12:41:00,123720.0,123730.0,123655.0,123665.0,1582,0,22189
2025-01-20 12:42:00,123660.0,123715.0,123655.0,123710.0,1348,0,13613
2025-01-20 12:43:00,123710.0,123745.0,123670.0,123675.0,1413,0,17289
2025-01-20 12:44:00,123680.0,123680.0,123625.0,123670.0,1830,0,20027
2025-01-20 12:45:00,123665.0,123675.0,123600.0,123600.0,1368,0,13873
2025-01-20 12:46:00,123605.0,123645.0,123580.0,123630.0,2355,0,26896
2025-01-20 12:47:00,123625.0,123655.0,123610.0,123640.0,1303,0,15768
2025-01-20 12:48:00,123640.0,123660.0,123595.0,123605.0,1011,0,12059
2025-01-20 12:49:00,123605.0,123635.0,123580.0,123580.0,1507,0,20862
2025-01-20 12:50:00,123585.0,123615.0,123535.0,123550.0,2667,0,30023
2025-01-20 12:51:00,123555.0,123635.0,123545.0,123635.0,2231,0,25377
2025-01-20 12:52:00,123635.0,123645.0,123600.0,123605.0,1378,0,14084
2025-01-20 12:53:00,123600.0,123640.0,123600.0,123635.0,637,0,5355
2025-01-20 12:54:00,123635.0,123635.0,123585.0,123610.0,794,0,6728
2025-01-20 12:55:00,123610.0,123640.0,123600.0,123615.0,799,0,5824
2025-01-20 12:56:00,123615.0,123660.0,123605.0,123640.0,838,0,10768
2025-01-20 12:57:00,123645.0,123650.0,123615.0,123640.0,728,0,6793
2025-01-20 12:58:00,123640.0,123650.0,123605.0,123610.0,720,0,6440
2025-01-20 12:59:00,123605.0,123625.0,123595.0,123610.0,904,0,8120
2025-01-20 13:00:00,123610.0,123655.0,123600.0,123635.0,1106,0,12829
2025-01-20 13:01:00,123635.0,123680.0,123625.0,123650.0,1635,0,20108
2025-01-20 13:02:00,123650.0,123655.0,123620.0,123650.0,865,0,7706
2025-01-20 13:03:00,123645.0,123660.0,123630.0,123635.0,637,0,4936
2025-01-20 13:04:00,123640.0,123670.0,123630.0,123665.0,783,0,7322
2025-01-20 13:05:00,123665.0,123680.0,123660.0,123680.0,780,0,6118
2025-01-20 13:06:00,123675.0,123715.0,123675.0,123695.0,1916,0,23765
2025-01-20 13:07:00,123695.0,123730.0,123675.0,123720.0,1257,0,11026
2025-01-20 13:08:00,123725.0,123760.0,123715.0,123735.0,1850,0,19712
2025-01-20 13:09:00,123735.0,123740.0,123705.0,123715.0,1122,0,10839
2025-01-20 13:10:00,123720.0,123760.0,123720.0,123740.0,1139,0,9295
2025-01-20 13:11:00,123745.0,123745.0,123650.0,123660.0,2398,0,28339
2025-01-20 13:12:00,123660.0,123680.0,123630.0,123675.0,1883,0,19757
2025-01-20 13:13:00,123680.0,123710.0,123660.0,123680.0,1219,0,11901
2025-01-20 13:14:00,123685.0,123750.0,123660.0,123745.0,1950,0,24993
2025-01-20 13:15:00,123745.0,123795.0,123735.0,123775.0,2718,0,33095
2025-01-20 13:16:00,123775.0,123810.0,123770.0,123775.0,1863,0,19613
2025-01-20 13:17:00,123775.0,123780.0,123680.0,123690.0,2663,0,31075
2025-01-20 13:18:00,123690.0,123735.0,123685.0,123715.0,1246,0,10734
2025-01-20 13:19:00,123720.0,123735.0,123705.0,123725.0,851,0,8034
2025-01-20 13:20:00,123725.0,123750.0,123720.0,123745.0,904,0,8175
2025-01-20 13:21:00,123745.0,123745.0,123675.0,123680.0,1329,0,16467
2025-01-20 13:22:00,123680.0,123705.0,123660.0,123685.0,1394,0,12243
2025-01-20 13:23:00,123690.0,123700.0,123670.0,123675.0,760,0,5434
2025-01-20 13:24:00,123680.0,123680.0,123620.0,123630.0,1901,0,22066
2025-01-20 13:25:00,123630.0,123655.0,123630.0,123645.0,1026,0,7894
2025-01-20 13:26:00,123650.0,123650.0,123605.0,123640.0,1456,0,13432
2025-01-20 13:27:00,123640.0,123695.0,123605.0,123685.0,1499,0,20163
2025-01-20 13:28:00,123685.0,123705.0,123660.0,123690.0,1690,0,17276
2025-01-20 13:29:00,123685.0,123715.0,123665.0,123700.0,1093,0,12259
2025-01-20 13:30:00,123695.0,123790.0,123695.0,123740.0,3076,0,41393
2025-01-20 13:31:00,123745.0,123755.0,123715.0,123730.0,1047,0,10438
2025-01-20 13:32:00,123725.0,123755.0,123720.0,123735.0,709,0,6692
2025-01-20 13:33:00,123740.0,123770.0,123720.0,123755.0,924,0,9319
2025-01-20 13:34:00,123755.0,123780.0,123745.0,123760.0,1013,0,11937
2025-01-20 13:35:00,123755.0,123790.0,123745.0,123760.0,941,0,8012
2025-01-20 13:36:00,123765.0,123775.0,123730.0,123765.0,978,0,9197
2025-01-20 13:37:00,123770.0,123840.0,123760.0,123825.0,2463,0,28651
2025-01-20 13:38:00,123825.0,123870.0,123820.0,123845.0,2179,0,23195
2025-01-20 13:39:00,123845.0,123850.0,123785.0,123805.0,1719,0,22413
2025-01-20 13:40:00,123800.0,123875.0,123800.0,123835.0,1710,0,19818
2025-01-20 13:41:00,123835.0,123880.0,123820.0,123830.0,1631,0,17706
2025-01-20 13:42:00,123825.0,123845.0,123790.0,123840.0,1532,0,18072
2025-01-20 13:43:00,123840.0,123840.0,123805.0,123815.0,814,0,6424
2025-01-20 13:44:00,123820.0,123825.0,123800.0,123815.0,693,0,4192
2025-01-20 13:45:00,123815.0,123825.0,123775.0,123800.0,1640,0,15596
2025-01-20 13:46:00,123800.0,123830.0,123795.0,123805.0,1087,0,9844
2025-01-20 13:47:00,123805.0,123850.0,123805.0,123825.0,1038,0,9355
2025-01-20 13:48:00,123830.0,123830.0,123760.0,123780.0,1458,0,16453
2025-01-20 13:49:00,123780.0,123810.0,123775.0,123795.0,849,0,9003
2025-01-20 13:50:00,123795.0,123800.0,123730.0,123745.0,1872,0,22938
